last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Law, Derek,571882,CIN,FC,Cutter,0.5,1,174,49.4,43,0.297,0.486,0.391,25.3,11.6,14.3,0.329,0.493,0.388,24.2
Peralta, Wily,503449,DET,SIFT,Sinker,-1,-2,152,21.9,43,0.324,0.353,0.394,18.3,11.6,13.2,0.32,0.402,0.399,51.7
Iglesias, Raisel,628452,ATL,SIFT,Sinker,-1.2,-2,182,18.6,43,0.231,0.333,0.287,14,16.3,23.3,0.246,0.388,0.314,28.1
Vespi, Nick,663989,BAL,SL,Slider,3,5,162,36.3,43,0.268,0.561,0.364,35.2,39.5,23,0.257,0.563,0.362,33.3
Ginkel, Kevin,656464,ARI,SL,Slider,-0.1,0,181,37.8,43,0.186,0.233,0.205,44.3,41.9,26.9,0.137,0.172,0.135,28
Faucher, Calvin,676534,TB,SIFT,Sinker,0.4,1,179,41.3,43,0.257,0.343,0.365,16.2,20.9,19.6,0.294,0.561,0.426,50
Ryu, Hyun Jin,547943,TOR,CH,Changeup,-1,-1,94,23.8,42,0.268,0.512,0.338,30,21.4,27.3,0.279,0.421,0.31,34.4
Feyereisen, J.P.,656420,TB,FF,4-Seamer,-5.3,-8,153,44.5,42,0.051,0.051,0.093,32.6,26.2,28.2,0.144,0.36,0.247,39.3
Blach, Ty,621389,COL,CH,Changeup,3.2,4,132,19.6,42,0.436,0.564,0.423,19.4,9.5,11.1,0.342,0.455,0.358,40.5
Gutierrez, Vladimir,661269,CIN,SL,Slider,-1,-2,150,21.9,42,0.263,0.289,0.273,27.8,26.2,22.9,0.244,0.285,0.263,17.9
Ohtani, Shohei,660271,LAA,CUKC,Curveball,0.5,1,227,8.6,42,0.231,0.41,0.302,42,47.6,34.5,0.172,0.237,0.219,30
Raley, Brooks,548384,TB,SIFT,Sinker,-1.9,-4,190,22.5,42,0.242,0.273,0.343,14.9,7.1,21.4,0.285,0.405,0.377,35.5
Poppen, Sean,664092,ARI,SL,Slider,-0.1,0,151,34.4,42,0.237,0.526,0.338,23.8,21.4,17.6,0.206,0.409,0.289,33.3
Morris, Cody,663752,CLE,FF,4-Seamer,1.5,3,180,44.6,42,0.371,0.686,0.49,24.7,14.3,11.8,0.301,0.572,0.427,44.8
Liberatore, Matthew,669461,STL,SIFT,Sinker,-1.8,-2,133,20.5,42,0.233,0.3,0.324,3.6,7.1,9.4,0.262,0.409,0.379,56.7
López, Jorge,605347,MIN,CUKC,Curveball,-2.9,-6,218,18.8,42,0.132,0.132,0.157,27.6,28.6,24,0.183,0.221,0.217,25.9
Tapia, Domingo,593619,OAK,SIFT,Sinker,2.6,4,157,43.3,42,0.343,0.6,0.455,13.9,4.8,7.4,0.244,0.393,0.351,41.2
Sands, Cole,663485,MIN,CUKC,Curveball,2.6,4,138,22.9,42,0.289,0.5,0.379,28.8,23.8,14.7,0.176,0.291,0.251,28.6
Logue, Zach,656657,OAK,CH,Changeup,0.1,0,139,13.6,42,0.225,0.35,0.274,23.6,9.5,11.1,0.25,0.402,0.285,35.1
Pineda, Michael,501381,DET,SL,Slider,-0.5,-1,157,21.5,42,0.214,0.262,0.21,29.1,23.8,14.1,0.221,0.282,0.219,40.6
Romo, Sergio,489265,TOR,SL,Slider,0.5,1,169,50.4,42,0.237,0.553,0.348,22.7,19,16.7,0.22,0.454,0.315,25.8
Gilbert, Logan,669302,SEA,CH,Changeup,-1.1,-3,241,8,42,0.125,0.125,0.145,31.6,23.8,13.5,0.238,0.278,0.248,22.6
Davis, Austin,656354,MIN,CH,Changeup,1.5,3,179,16,42,0.3,0.35,0.307,38.5,33.3,20.6,0.218,0.266,0.238,11.5
Naughton, Packy,676050,STL,FF,4-Seamer,1.1,2,195,34.7,42,0.333,0.513,0.388,26.6,31,21.7,0.278,0.448,0.341,42.3
Medina, Adonis,658431,NYM,SIFT,Sinker,0.2,0,125,30.2,42,0.286,0.343,0.348,11.3,9.5,21.1,0.281,0.452,0.38,64.5
