last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Burnes, Corbin,669203,MIL,FC,Cutter,-1.2,-21,1815,55.4,464,0.213,0.335,0.292,27.8,24.6,24.1,0.246,0.376,0.312,38.4
Rodón, Carlos,607074,SF,FF,4-Seamer,-1.2,-22,1826,61.2,443,0.213,0.358,0.29,27.9,30.5,24.1,0.206,0.347,0.278,44.8
Gilbert, Logan,669302,SEA,FF,4-Seamer,-0.7,-12,1626,53.9,418,0.259,0.439,0.337,23.7,22.5,20.5,0.262,0.444,0.339,50.5
McKenzie, Triston,663474,CLE,FF,4-Seamer,-1.1,-17,1570,55.9,406,0.203,0.358,0.29,19.6,18.2,17.2,0.241,0.451,0.337,46.9
Cole, Gerrit,543037,NYY,FF,4-Seamer,-0.5,-8,1698,51.9,399,0.221,0.42,0.313,28.9,33.8,24.8,0.216,0.398,0.3,47.6
Valdez, Framber,664285,HOU,SIFT,Sinker,-0.3,-4,1478,49,394,0.293,0.409,0.359,12.1,7.1,12.3,0.295,0.439,0.358,47.1
Manaea, Sean,640455,SD,SIFT,Sinker,0.3,5,1511,60.9,391,0.239,0.427,0.324,23,22.8,20.6,0.239,0.416,0.321,44.7
Pivetta, Nick,601713,BOS,FF,4-Seamer,-0.6,-9,1572,51,384,0.236,0.442,0.341,21.1,21.6,19.8,0.249,0.466,0.357,48.8
Javier, Cristian,664299,HOU,FF,4-Seamer,-1.2,-18,1530,59.9,370,0.183,0.326,0.282,27.3,28.9,20.2,0.181,0.317,0.274,39.2
Strider, Spencer,675911,ATL,FF,4-Seamer,-1.3,-20,1525,67,357,0.201,0.295,0.262,27.7,33.6,24.4,0.207,0.336,0.281,41.8
Quantrill, Cal,615698,CLE,SIFT,Sinker,-0.2,-3,1319,45.2,356,0.292,0.426,0.345,13.5,12.6,12.7,0.275,0.433,0.342,34.1
Corbin, Patrick,571578,WSH,SIFT,Sinker,0.8,10,1140,43.5,356,0.31,0.475,0.383,11.7,15.2,16.3,0.316,0.545,0.398,50
Ryan, Joe,657746,MIN,FF,4-Seamer,-1.4,-21,1436,60.1,354,0.174,0.3,0.268,25.8,27.1,20.7,0.201,0.378,0.302,40.9
Cease, Dylan,656302,CWS,SL,Slider,-2.7,-36,1338,42.9,349,0.128,0.209,0.193,43.3,37.5,27.8,0.144,0.223,0.202,22
Urquidy, José,664353,HOU,FF,4-Seamer,-0.6,-8,1392,52.7,347,0.243,0.482,0.334,18.8,17,14.8,0.275,0.526,0.372,51.2
Gausman, Kevin,592332,TOR,FF,4-Seamer,-0.2,-2,1358,48.8,342,0.333,0.483,0.371,16.3,18.4,17.7,0.296,0.511,0.359,50.4
Singer, Brady,663903,KC,SIFT,Sinker,-0.3,-4,1278,53.8,330,0.255,0.387,0.318,13.9,20.9,22.1,0.244,0.391,0.309,39.7
Ray, Robbie,592662,SEA,FF,4-Seamer,-0.8,-9,1201,39.4,327,0.224,0.397,0.312,25.9,26.6,24.1,0.209,0.364,0.29,37
Urías, Julio,628711,LAD,FF,4-Seamer,-1.3,-17,1251,47.7,322,0.189,0.34,0.285,23.1,23,22.5,0.205,0.35,0.282,38.5
Giolito, Lucas,608337,CWS,FF,4-Seamer,0,0,1313,47.7,320,0.283,0.449,0.359,21.3,21.6,18.9,0.254,0.422,0.337,43.1
Verlander, Justin,434378,HOU,FF,4-Seamer,-1.8,-24,1315,50.4,317,0.194,0.285,0.249,18.1,15.8,15,0.234,0.394,0.3,40.3
Pérez, Martín,527048,TEX,SIFT,Sinker,-0.9,-9,1048,35.2,314,0.249,0.342,0.315,12.6,18.5,22.7,0.244,0.361,0.317,40.7
Gallen, Zac,668678,ARI,FF,4-Seamer,-1.2,-17,1411,48.1,310,0.165,0.301,0.262,19.7,28.4,20.5,0.2,0.356,0.296,41.9
Dunning, Dane,641540,TEX,SIFT,Sinker,0.1,1,1019,40,307,0.298,0.45,0.382,13.1,14.3,20.4,0.274,0.432,0.358,44.1
Kopech, Michael,656629,CWS,FF,4-Seamer,-0.5,-6,1242,61.8,292,0.189,0.337,0.303,25.6,23.6,21,0.205,0.36,0.316,45.2
Gonzales, Marco,594835,SEA,CH,Changeup,0.3,2,865,30.5,292,0.263,0.442,0.324,24.5,16.8,14.6,0.235,0.359,0.276,30.7
Gausman, Kevin,592332,TOR,FS,Splitter,-1.5,-14,969,34.8,292,0.192,0.293,0.241,44.5,43.2,25.1,0.169,0.225,0.198,23
Bumgarner, Madison,518516,ARI,FC,Cutter,0.6,6,987,36.4,292,0.306,0.513,0.38,16.5,17.5,15.9,0.3,0.515,0.374,43.4
Cobb, Alex,502171,SF,SIFT,Sinker,-0.5,-5,1016,42,290,0.273,0.375,0.337,13.4,27.9,24.5,0.232,0.33,0.299,49.4
López, Pablo,641154,MIA,FF,4-Seamer,-0.2,-2,1134,39,290,0.254,0.423,0.326,23.3,26.2,22.2,0.247,0.395,0.317,33.2
Garcia, Luis,677651,HOU,FF,4-Seamer,0.3,3,1038,42.1,289,0.281,0.519,0.38,18.2,18,20.6,0.267,0.495,0.362,45.9
Webb, Logan,657277,SF,CH,Changeup,-1.2,-12,937,31.2,289,0.204,0.286,0.256,26.6,23.9,19.9,0.239,0.33,0.277,42.3
Brubaker, JT,664141,PIT,SIFT,Sinker,-0.4,-4,998,41.9,288,0.283,0.434,0.369,14.7,16.3,18.7,0.273,0.427,0.352,44.9
Snell, Blake,605483,SD,FF,4-Seamer,-0.5,-6,1300,55.5,287,0.255,0.407,0.347,22.4,23,17.4,0.232,0.386,0.328,42.2
Suárez, Ranger,624133,PHI,SIFT,Sinker,-0.9,-9,1030,40.2,286,0.22,0.314,0.303,11.9,18.5,20.5,0.249,0.367,0.314,41.6
Greene, Hunter,668881,CIN,FF,4-Seamer,0.4,5,1184,53.8,284,0.26,0.512,0.371,28.3,28.9,22.9,0.248,0.477,0.361,48.2
Morton, Charlie,450203,ATL,CUKC,Curveball,-0.7,-8,1103,38,283,0.171,0.323,0.261,41.8,43.1,29,0.164,0.26,0.235,34.1
Cobb, Alex,502171,SF,FS,Splitter,0.2,2,1028,42.5,283,0.244,0.307,0.269,30.3,21.9,19.6,0.226,0.304,0.249,34.3
Davies, Zach,605200,ARI,SIFT,Sinker,0.8,9,1239,54.1,279,0.268,0.485,0.38,11.9,18.3,14.7,0.279,0.515,0.386,47.4
Bubic, Kris,663460,KC,FF,4-Seamer,1.8,20,1143,50.5,277,0.348,0.587,0.441,20.1,20.2,18.9,0.296,0.498,0.391,48.6
Steele, Justin,657006,CHC,FF,4-Seamer,0.4,4,1155,56.8,276,0.313,0.408,0.389,20.3,16.3,17,0.276,0.362,0.34,33.7
Woodruff, Brandon,605540,MIL,FF,4-Seamer,-0.6,-6,975,38.4,275,0.184,0.381,0.287,28.5,35.6,23.6,0.192,0.374,0.291,46.9
Wainwright, Adam,425794,STL,CUKC,Curveball,-1,-10,995,31.8,275,0.251,0.353,0.287,22.3,21.1,16.6,0.248,0.352,0.291,29
Cortes, Nestor,641482,NYY,FF,4-Seamer,-2,-22,1083,43.9,275,0.157,0.239,0.205,25.4,31.3,22.2,0.183,0.296,0.239,39
Morton, Charlie,450203,ATL,FF,4-Seamer,0.7,7,966,33.3,275,0.257,0.469,0.354,20.2,24,19.8,0.247,0.46,0.347,47.2
Ray, Robbie,592662,SEA,SL,Slider,-0.5,-6,1134,37.2,274,0.184,0.349,0.247,39.4,37.2,23.2,0.208,0.33,0.252,41.9
Montgomery, Jordan,656756,STL,SIFT,Sinker,-1.1,-10,938,34.5,273,0.248,0.36,0.306,17.1,15.8,22.6,0.284,0.401,0.33,39.2
Kaprielian, James,621076,OAK,FF,4-Seamer,0.1,2,1092,49,273,0.257,0.465,0.364,16.6,13.9,13,0.282,0.482,0.379,39.8
Gonzales, Marco,594835,SEA,FF,4-Seamer,0.2,2,1035,36.5,271,0.249,0.442,0.353,15.6,13.3,12.3,0.277,0.481,0.37,39.1
Mahle, Tyler,641816,MIN,FF,4-Seamer,-0.6,-7,1084,51.6,269,0.205,0.368,0.295,28.1,32.3,22.1,0.181,0.32,0.273,47.7
Wright, Kyle,657140,ATL,CUKC,Curveball,-1.1,-10,919,34.1,268,0.211,0.307,0.263,33.5,33.2,27.3,0.22,0.323,0.262,40.5
Stroman, Marcus,573186,CHC,SIFT,Sinker,-1.6,-14,876,40.2,268,0.226,0.355,0.321,15.7,14.9,20,0.241,0.383,0.321,42.6
Cease, Dylan,656302,CWS,FF,4-Seamer,-0.4,-5,1242,39.8,268,0.24,0.391,0.336,23.2,21.3,16.3,0.218,0.366,0.322,35.5
Lauer, Eric,641778,MIL,FF,4-Seamer,-0.8,-9,1175,43.9,268,0.193,0.366,0.286,29.8,32.8,21.1,0.188,0.332,0.275,43.7
Ohtani, Shohei,660271,LAA,SL,Slider,-2.7,-28,1027,39.1,267,0.159,0.257,0.223,38,33.3,30,0.18,0.286,0.239,28.5
Gray, Jon,592351,TEX,FF,4-Seamer,-0.3,-3,1042,50.5,267,0.275,0.417,0.341,17.4,19.5,16.6,0.279,0.429,0.343,43.2
Pallante, Andre,669467,STL,FF,4-Seamer,-0.6,-6,953,54.4,266,0.293,0.384,0.336,12.2,11.3,13.4,0.263,0.351,0.307,43
Manoah, Alek,666201,TOR,FF,4-Seamer,-1.8,-19,1058,35.9,265,0.211,0.338,0.285,26.1,24.9,22.5,0.24,0.39,0.311,39.7
Alcantara, Sandy,645261,MIA,CH,Changeup,-2.7,-25,899,27.7,265,0.145,0.194,0.177,34.4,29.4,26.8,0.17,0.23,0.2,29.1
López, Pablo,641154,MIA,CH,Changeup,-0.4,-4,1027,35.3,265,0.22,0.374,0.289,33.9,27.5,21.2,0.233,0.367,0.288,33.9
Quintana, José,500779,STL,FF,4-Seamer,-1.7,-17,981,36,262,0.215,0.317,0.26,22.9,23.3,16.2,0.24,0.347,0.281,32.4
Houser, Adrian,605288,MIL,SIFT,Sinker,0.4,3,881,47.7,262,0.298,0.44,0.377,12.7,9.5,12.5,0.31,0.467,0.383,42.2
Fried, Max,608331,ATL,FF,4-Seamer,-1.3,-12,917,32.5,260,0.25,0.375,0.302,14.7,14.6,15,0.256,0.387,0.312,33.5
Bassitt, Chris,605135,NYM,SIFT,Sinker,-1.7,-16,965,33.4,257,0.26,0.366,0.331,15.2,10.5,19.3,0.255,0.416,0.335,36.3
Junis, Jakob,596001,SF,SL,Slider,-0.7,-7,909,50.4,257,0.226,0.381,0.288,25.1,28.8,22.9,0.229,0.361,0.283,39.2
Kuhl, Chad,641771,COL,SL,Slider,-0.8,-7,870,36.6,257,0.213,0.387,0.289,34.2,33.1,22.9,0.217,0.352,0.278,35.1
Bieber, Shane,669456,CLE,SL,Slider,-1.3,-11,827,28.8,255,0.193,0.291,0.234,39.4,30.6,27.5,0.199,0.303,0.237,34.9
Singer, Brady,663903,KC,SL,Slider,-0.8,-7,903,38,254,0.237,0.371,0.289,33.9,30.7,24.5,0.229,0.367,0.288,40.9
Quantrill, Cal,615698,CLE,FC,Cutter,-0.1,-1,1052,36,254,0.235,0.368,0.289,23.8,18.5,17.2,0.255,0.42,0.316,39.8
Lynch, Daniel,663738,KC,FF,4-Seamer,0.1,1,1052,43.2,253,0.305,0.439,0.382,19.2,17,14.2,0.301,0.499,0.381,52.2
Alcantara, Sandy,645261,MIA,SIFT,Sinker,-1,-8,806,24.8,252,0.265,0.357,0.318,10.8,11.5,15.8,0.253,0.342,0.298,36.8
Rogers, Trevor,669432,MIA,FF,4-Seamer,1,11,1023,52.7,247,0.312,0.553,0.409,22.8,21.9,18.6,0.3,0.535,0.402,49.1
Bieber, Shane,669456,CLE,FF,4-Seamer,0.1,1,990,34.4,246,0.292,0.434,0.356,15.1,16.3,20,0.315,0.513,0.381,55.3
Webb, Logan,657277,SF,SIFT,Sinker,-0.9,-9,990,32.9,244,0.327,0.45,0.386,13,11.1,21.1,0.303,0.44,0.361,47.2
Irvin, Cole,608344,OAK,FF,4-Seamer,-0.8,-8,940,36,243,0.222,0.387,0.285,23.7,28.4,22.4,0.233,0.424,0.302,45.7
Valdez, Framber,664285,HOU,CUKC,Curveball,-1.2,-11,846,28,243,0.146,0.196,0.21,45.4,50.6,30.4,0.146,0.203,0.202,34.7
Anderson, Tyler,542881,LAD,CH,Changeup,-1.8,-14,815,31.6,242,0.179,0.262,0.213,37,24.8,21.7,0.19,0.274,0.223,19.3
Ureña, José,570632,COL,SIFT,Sinker,0.4,3,843,52,242,0.313,0.447,0.369,13.8,12,18.7,0.306,0.486,0.379,48.1
Lyles, Jordan,543475,BAL,FF,4-Seamer,0.5,5,949,31.8,242,0.286,0.54,0.395,18.8,13.6,13.1,0.304,0.561,0.41,50
Hudson, Dakota,641712,STL,SIFT,Sinker,0.9,7,796,35.3,241,0.318,0.418,0.379,7.3,6.6,8.9,0.317,0.456,0.391,47.6
Archer, Chris,502042,MIN,SL,Slider,-1.2,-9,792,44.3,241,0.202,0.337,0.298,26.5,21.2,17.2,0.241,0.38,0.32,43.8
Springs, Jeffrey,605488,TB,CH,Changeup,-1.6,-12,745,34.7,240,0.229,0.32,0.265,38.1,29.2,26.3,0.205,0.279,0.229,27.3
Taillon, Jameson,592791,NYY,FF,4-Seamer,-0.3,-3,1000,35.7,240,0.257,0.455,0.337,22.8,25.8,17.5,0.255,0.474,0.339,50.3
Wheeler, Zack,554430,PHI,FF,4-Seamer,-1,-10,987,41.9,238,0.212,0.359,0.282,28.3,29.8,23.7,0.23,0.392,0.302,47.6
Darvish, Yu,506433,SD,FC,Cutter,-0.6,-6,1046,35.2,237,0.31,0.457,0.376,25.4,12.7,20.4,0.298,0.465,0.37,35.9
Kirby, George,669923,SEA,FF,4-Seamer,-1.9,-18,950,45.4,237,0.221,0.345,0.257,26.4,30.4,22.4,0.208,0.376,0.267,42.9
Espino, Paolo,502179,WSH,FF,4-Seamer,0.5,5,899,48,236,0.286,0.482,0.362,12.2,15.3,14.2,0.297,0.537,0.379,47.8
Greene, Hunter,668881,CIN,SL,Slider,-0.6,-5,900,40.9,236,0.17,0.307,0.261,38,34.3,22.9,0.177,0.29,0.248,29.3
Nola, Aaron,605400,PHI,CUKC,Curveball,-0.9,-7,806,26.5,236,0.219,0.346,0.261,39.4,36,27,0.195,0.286,0.228,26.6
Kuhl, Chad,641771,COL,SIFT,Sinker,2.6,26,1002,42.2,236,0.367,0.599,0.459,11.8,1.7,4.4,0.347,0.608,0.442,53.7
Rodón, Carlos,607074,SF,SL,Slider,-1,-9,929,31.1,234,0.193,0.239,0.225,39,39.7,24.2,0.177,0.237,0.213,30.2
Gray, Josiah,680686,WSH,FF,4-Seamer,2.1,22,1019,39.2,234,0.304,0.738,0.485,17.1,8.5,10.1,0.26,0.629,0.429,45.1
Fedde, Erick,607200,WSH,SIFT,Sinker,0,0,970,40.1,234,0.309,0.461,0.372,14.3,13.7,13.1,0.301,0.44,0.364,49.1
Odorizzi, Jake,543606,ATL,FF,4-Seamer,0.5,4,920,51.2,233,0.272,0.437,0.346,22.2,18,15.8,0.272,0.448,0.351,39.8
Wood, Alex,622072,SF,SIFT,Sinker,0.6,6,1019,45.5,233,0.261,0.469,0.335,23.2,29.2,19.6,0.243,0.463,0.33,45.9
Ashcraft, Graham,668933,CIN,FC,Cutter,-0.2,-2,891,50.7,232,0.285,0.382,0.342,15.2,9.5,11.1,0.27,0.377,0.324,33.3
Scherzer, Max,453286,NYM,FF,4-Seamer,-1.3,-13,983,45.4,232,0.212,0.37,0.279,23,21.1,23.1,0.232,0.459,0.332,44.2
Manoah, Alek,666201,TOR,SL,Slider,-0.8,-6,798,27.1,231,0.19,0.324,0.248,31.8,27.7,20.6,0.218,0.346,0.272,22.7
Kershaw, Clayton,477132,LAD,SL,Slider,-1.3,-10,786,42.7,231,0.2,0.298,0.26,37.3,33.3,25.7,0.201,0.276,0.237,36.4
Anderson, Ian,666120,ATL,FF,4-Seamer,0.4,4,961,47.9,231,0.306,0.444,0.38,18.1,10.4,10,0.299,0.46,0.384,47.1
Detmers, Reid,672282,LAA,FF,4-Seamer,-0.5,-5,961,44.1,229,0.232,0.412,0.335,22.2,19.2,15.9,0.262,0.455,0.359,43.5
Kelly, Merrill,518876,ARI,FF,4-Seamer,-0.9,-8,896,29.2,229,0.21,0.365,0.306,23.3,25.8,22.1,0.191,0.343,0.287,39.7
Bradish, Kyle,680694,BAL,FF,4-Seamer,2.1,19,887,44.5,229,0.321,0.539,0.42,17.5,15.7,16.5,0.3,0.517,0.398,44.7
Webb, Logan,657277,SF,SL,Slider,0.1,1,982,32.7,228,0.202,0.329,0.27,31.1,26.3,16.7,0.203,0.331,0.253,24.4
Verlander, Justin,434378,HOU,SL,Slider,-0.8,-6,739,28.3,227,0.188,0.261,0.22,34.6,39.6,26.7,0.187,0.289,0.222,27.9
Nola, Aaron,605400,PHI,FF,4-Seamer,-1,-10,1015,33.4,226,0.196,0.354,0.267,24.2,29.2,20.9,0.199,0.38,0.28,35.4
Keller, Brad,641745,KC,FF,4-Seamer,0.6,5,803,35.3,226,0.25,0.38,0.317,18.1,20.4,18,0.248,0.369,0.3,34.4
Williams, Trevor,592866,NYM,FF,4-Seamer,-1.7,-12,743,52.8,225,0.243,0.371,0.298,19.9,24,20.6,0.224,0.369,0.284,42.3
Gray, Josiah,680686,WSH,SL,Slider,-1.4,-11,765,29.5,225,0.189,0.316,0.256,38,35.6,28.3,0.179,0.261,0.221,28
Keller, Brad,641745,KC,SL,Slider,0.8,6,821,36.1,225,0.265,0.43,0.336,29.2,20.4,18.6,0.247,0.426,0.331,42.3
Pérez, Martín,527048,TEX,CH,Changeup,0.2,1,823,27.6,224,0.233,0.338,0.286,33.5,18.8,17.7,0.251,0.353,0.289,25.4
Walker, Taijuan,592836,NYM,FS,Splitter,-2,-14,689,27.6,223,0.195,0.267,0.243,29,24.2,19.3,0.225,0.323,0.261,40.8
Davies, Zach,605200,ARI,CH,Changeup,-1.9,-14,762,33.2,222,0.187,0.325,0.261,32.2,20.7,20.4,0.215,0.341,0.267,25.3
Gibson, Kyle,502043,PHI,SIFT,Sinker,0.5,4,770,28.1,222,0.306,0.459,0.381,19.8,15.8,19.2,0.291,0.446,0.361,50
Flexen, Chris,623167,SEA,FF,4-Seamer,0.3,3,872,39.6,222,0.301,0.527,0.398,15.6,13.5,13.4,0.283,0.523,0.396,52.5
Hill, Rich,448179,BOS,CUKC,Curveball,-0.3,-2,727,36.5,221,0.235,0.377,0.306,16.8,15.4,13.9,0.242,0.368,0.298,30
McClanahan, Shane,663556,TB,FF,4-Seamer,-0.6,-6,879,35.7,221,0.244,0.442,0.34,24,21.7,20.7,0.229,0.421,0.324,42.3
Wainwright, Adam,425794,STL,SIFT,Sinker,0.2,1,869,27.7,220,0.255,0.373,0.302,8.9,22.7,19,0.29,0.478,0.354,51.9
Bundy, Dylan,605164,MIN,FF,4-Seamer,-0.2,-2,865,39.7,219,0.258,0.464,0.342,16.6,13.2,12.9,0.252,0.463,0.344,39.9
Urías, Julio,628711,LAD,CUKC,Curveball,-1.4,-12,873,33.3,218,0.2,0.356,0.27,21.4,27.1,20.8,0.193,0.316,0.242,24.3
Mikolas, Miles,571945,STL,FF,4-Seamer,-0.6,-5,860,27.3,217,0.213,0.351,0.287,21.6,30,19.7,0.228,0.386,0.291,43.5
Thompson, Keegan,624522,CHC,FF,4-Seamer,0,0,881,46.9,217,0.253,0.468,0.365,19.9,21.2,18.6,0.261,0.507,0.376,46.5
Manoah, Alek,666201,TOR,SIFT,Sinker,-1,-7,762,25.8,217,0.225,0.267,0.286,16.1,19.8,21,0.215,0.277,0.272,29.5
Heasley, Jonathan,669169,KC,FF,4-Seamer,0.5,4,822,45.8,215,0.277,0.554,0.407,13.9,13.5,14.1,0.258,0.486,0.374,45.4
Burke, Brock,656271,TEX,FF,4-Seamer,-0.7,-6,840,63.2,214,0.196,0.354,0.293,21.6,30.8,24.6,0.21,0.356,0.292,47.2
Márquez, Germán,608566,COL,FF,4-Seamer,1.4,12,846,29.8,214,0.313,0.527,0.409,15.3,12.6,12.1,0.274,0.435,0.36,47.1
Sandoval, Patrick,663776,LAA,SL,Slider,-1.3,-9,714,29.1,214,0.201,0.261,0.247,33.6,28.5,26.8,0.212,0.318,0.265,31.7
Alexander, Jason,669920,MIL,SIFT,Sinker,1,7,658,56.7,214,0.344,0.511,0.403,9.6,10.3,14.5,0.311,0.463,0.377,49.4
Shaw, Bryan,543766,CLE,FC,Cutter,-0.1,-1,738,76.2,212,0.25,0.391,0.337,20.7,18.9,21.6,0.256,0.394,0.332,46.2
Mikolas, Miles,571945,STL,SIFT,Sinker,-1.2,-8,701,22.2,212,0.211,0.309,0.264,12.5,20.3,18.1,0.224,0.326,0.277,32.5
Pérez, Martín,527048,TEX,FC,Cutter,-1.7,-12,725,24.3,211,0.232,0.294,0.268,16.9,27.5,27.2,0.231,0.302,0.27,32.8
Senzatela, Antonio,622608,COL,FF,4-Seamer,1.6,13,821,54,211,0.4,0.595,0.446,12.6,8.1,8.9,0.325,0.491,0.377,46.7
Brubaker, JT,664141,PIT,SL,Slider,1.5,11,739,31,211,0.255,0.432,0.351,41,34.1,24.5,0.225,0.389,0.3,35.5
Kluber, Corey,446372,TB,FC,Cutter,-0.8,-7,839,34.2,211,0.302,0.436,0.326,25.6,14.7,19.3,0.275,0.432,0.313,30.3
Plesac, Zach,668676,CLE,FF,4-Seamer,0.5,4,917,42.6,211,0.306,0.503,0.399,14.9,7.1,8.1,0.309,0.575,0.418,47.3
Anderson, Tyler,542881,LAD,FF,4-Seamer,-0.7,-6,979,38,210,0.262,0.428,0.338,18.6,17.6,17.1,0.255,0.449,0.342,40.8
Kluber, Corey,446372,TB,CUKC,Curveball,0.2,1,669,27.3,210,0.255,0.415,0.315,28.3,31,23.4,0.23,0.377,0.283,34.1
Pivetta, Nick,601713,BOS,CUKC,Curveball,2,16,834,27.1,209,0.299,0.442,0.344,22.2,24.9,19.6,0.253,0.39,0.302,41.4
Adon, Joan,672851,WSH,FF,4-Seamer,2.1,17,789,65.5,208,0.288,0.529,0.414,15,15.4,17.1,0.288,0.539,0.415,41
Wood, Alex,622072,SF,SL,Slider,0.8,7,805,36,208,0.254,0.381,0.323,28.7,24,17.4,0.249,0.364,0.319,38.1
Cole, Gerrit,543037,NYY,SL,Slider,-1.4,-10,739,22.6,208,0.16,0.28,0.219,44.2,37,24.8,0.195,0.32,0.241,32.5
Berríos, José,621244,TOR,SIFT,Sinker,-0.6,-4,703,25.8,207,0.317,0.452,0.374,11.7,12.1,15.8,0.312,0.486,0.38,42
Gilbert, Logan,669302,SEA,SL,Slider,0,0,730,24.2,207,0.223,0.335,0.268,25.1,27.1,16.3,0.23,0.36,0.276,41.3
Finnegan, Kyle,640448,WSH,SIFT,Sinker,-0.7,-6,830,78.8,207,0.217,0.354,0.281,25.9,27.5,22.1,0.207,0.339,0.272,45.9
Holmes, Clay,605280,NYY,SIFT,Sinker,-1.2,-10,783,79.8,206,0.199,0.254,0.265,26.2,21.4,22.7,0.199,0.262,0.262,46.3
Berríos, José,621244,TOR,FF,4-Seamer,2.2,17,758,27.9,206,0.349,0.618,0.442,18.9,17.5,19,0.308,0.576,0.409,55.3
Smyly, Drew,592767,CHC,CUKC,Curveball,-0.5,-4,740,40.8,206,0.225,0.34,0.266,32.7,29.1,19,0.243,0.366,0.276,30.7
Syndergaard, Noah,592789,PHI,SIFT,Sinker,-1.9,-12,642,31.7,205,0.235,0.31,0.284,10.3,9.3,12.8,0.266,0.399,0.329,34.3
Rasmussen, Drew,656876,TB,FF,4-Seamer,-1.2,-10,795,35.5,204,0.229,0.365,0.281,18.9,20.1,15.1,0.236,0.369,0.284,43.1
Scott, Tanner,656945,MIA,SL,Slider,-0.1,-1,791,62.1,204,0.238,0.363,0.324,36.4,30.4,23.1,0.225,0.329,0.313,32.1
Bumgarner, Madison,518516,ARI,FF,4-Seamer,2.6,24,902,33.2,202,0.326,0.606,0.449,18.1,13.9,11.1,0.269,0.549,0.394,49.3
Bubic, Kris,663460,KC,CH,Changeup,0.3,2,628,27.8,202,0.258,0.399,0.34,26.1,19.3,18.8,0.274,0.449,0.354,38.6
Cortes, Nestor,641482,NYY,FC,Cutter,-1.2,-9,734,29.8,201,0.191,0.366,0.281,24.5,21.9,22.1,0.227,0.354,0.29,35.3
Wright, Kyle,657140,ATL,SIFT,Sinker,-1.9,-12,645,23.9,200,0.236,0.309,0.306,15.7,12,17.8,0.263,0.356,0.318,38.1
Hearn, Taylor,621368,TEX,FF,4-Seamer,-0.3,-3,854,47.8,200,0.198,0.353,0.317,23,26,20.4,0.216,0.351,0.322,36.2
Márquez, Germán,608566,COL,CUKC,Curveball,-1.2,-7,627,22.1,200,0.141,0.24,0.185,37.3,45,25.3,0.162,0.264,0.201,34.6
Mikolas, Miles,571945,STL,SL,Slider,-0.3,-2,799,25.3,199,0.239,0.41,0.304,21.2,11.1,10,0.302,0.484,0.359,35.7
Márquez, Germán,608566,COL,SIFT,Sinker,1.3,9,688,24.2,199,0.328,0.567,0.42,10.1,1,4.8,0.33,0.532,0.398,57.1
Lyles, Jordan,543475,BAL,SL,Slider,0.2,1,714,23.9,199,0.254,0.368,0.293,29.8,19.6,14,0.238,0.383,0.299,26.4
Wainwright, Adam,425794,STL,FC,Cutter,-0.5,-4,787,25.1,198,0.283,0.44,0.344,18.1,11.1,12.3,0.28,0.46,0.342,33.7
Berríos, José,621244,TOR,CUKC,Curveball,-0.2,-2,842,30.9,198,0.209,0.374,0.273,31.2,33.8,21.6,0.218,0.385,0.283,42.5
Flexen, Chris,623167,SEA,FC,Cutter,0,0,715,32.4,198,0.267,0.396,0.31,23.4,15.2,18,0.268,0.405,0.31,37.7
Kelly, Merrill,518876,ARI,CH,Changeup,-0.1,-1,671,21.8,197,0.243,0.362,0.284,28.5,23.9,20.3,0.219,0.315,0.257,30.7
Anderson, Tyler,542881,LAD,FC,Cutter,-0.9,-5,567,22,197,0.213,0.346,0.273,18.3,18.8,18.6,0.231,0.331,0.264,23
Contreras, Roansy,672710,PIT,FF,4-Seamer,0,0,771,48.6,196,0.276,0.541,0.391,17.9,13.3,13.7,0.295,0.555,0.406,58.3
Alcantara, Sandy,645261,MIA,FF,4-Seamer,-0.2,-2,818,25.2,196,0.235,0.436,0.321,24.7,24.5,20.3,0.231,0.426,0.315,48.5
Anderson, Ian,666120,ATL,CH,Changeup,-0.4,-3,669,33.4,196,0.209,0.345,0.286,36.5,31.6,22.4,0.219,0.322,0.279,33
Gore, MacKenzie,669022,SD,FF,4-Seamer,-0.7,-5,766,60.9,195,0.232,0.351,0.307,18.7,21,19.2,0.264,0.429,0.349,48.1
Poche, Colin,621363,TB,FF,4-Seamer,-0.6,-5,755,77.5,195,0.218,0.406,0.31,27,24.1,20.2,0.217,0.369,0.301,32.3
Keller, Mitch,656605,PIT,FF,4-Seamer,0,0,882,33.1,195,0.271,0.412,0.345,24,25.1,17.1,0.22,0.366,0.307,29.5
Gomber, Austin,596295,COL,FF,4-Seamer,2.6,21,838,40.7,195,0.376,0.618,0.453,13.1,11.8,13.5,0.327,0.523,0.4,45.7
Gray, Jon,592351,TEX,SL,Slider,0,0,744,36.1,193,0.156,0.33,0.253,40.6,39.4,24.8,0.163,0.27,0.232,26.2
White, Mitch,669952,TOR,FF,4-Seamer,0.5,4,768,44.8,193,0.299,0.485,0.388,11.5,12.4,12.4,0.265,0.393,0.339,32.6
Kluber, Corey,446372,TB,SIFT,Sinker,1.3,8,657,26.8,192,0.28,0.474,0.358,10,13,14,0.284,0.471,0.354,42.1
